Aeglidae,Aegla,,,,,,,,,,,,,,,,,
Blepharipodidae,Blepharipoda,Lophomastix,,,,,,,,,,,,,,,,
Chirostylidae,Chirostylus,Gastroptychus,Uroptychus,,,,,,,,,,,,,,,
Coenobitidae,Birgus,Coenobita,,,,,,,,,,,,,,,,
Diogenidae,Aniculus,Areopaguristes,Calcinus,Cancellus,Ciliopagurus,Clibanarius,Dardanus,Diogenes,Isocheles,Loxopagurus,Paguristes,Petrochirus,Pseudopaguristes,Strigopagurus,,,,
Dromiidae,Conchoecetes,Lauridromia,,,,,,,,,,,,,,,,
Galatheidae,Alainius,Allogalathea,Galathea,Janetogalathea,,,,,,,,,,,,,,
Hapalogastrinae,Dermaturus,Hapalogaster,Oedignathus,,,,,,,,,,,,,,,
Hippidae,Emerita,Hippa,,,,,,,,,,,,,,,,
Kiwaidae,Kiwa,,,,,,,,,,,,,,,,,
Lithodinae,Lithodes,Lopholithodes,Neolithodes,Paralithodes,Paralomis,Phyllolithodes,Glyptolithodes,Cryptolithodes,,,,,,,,,,
Lomisidae,Lomis,,,,,,,,,,,,,,,,,
Paguridae,Bythiopagurus,Catapagurus,Discorsopagurus,Elassochirus,Icelopagurus,Labidochirus,Lithopagurus,Michelopagurus,Nematopagurus,Pagurodofleinia,Pagurus,Phimochirus,Porcellanopagurus,Propagurus,Pylopagurus,Spiropagurus,Xylopagurus,
Parapaguridae,Oncopagurus,Paragiopagurus,Parapagurus,Probeebei,Strobopagurus,Sympagurus,,,,,,,,,,,,
Porcellanidae,Aliaporcellana,Allopetrolisthes,Clastotoechus,Euceramus,Liopetrolisthes,Lissoporcellana,Megalobrachium,Neopetrolisthes,Neopisosoma,Novorostrum,Pachycheles,Parapetrolisthes,Petrocheles,Petrolisthes,Pisidia,Polyonyx,Porcellana,Porcellanella
Pylochelidae,Pomatocheles,Parapylocheles,Mixtopagurus,Cancellocheles,Forestocheles,Bathycheles,Cheiroplatea,Pylocheles,Xylocheles,,,,,,,,,
